Field Number,CDS501 Name,Code Name,CDS Code,CDS Code Description,CRASH.SER_NO,DMV Crash Serial Number,CRASH.CRASH_MO_NO,Crash Date Month (MM),CRASH.CRASH_HR_NO,Crash Hour,CRASH.CRASH_CNTY_ID,County,CRASH.CITY_SECT_ID,City,CRASH.URB_AREA_CD,Urban Area,CRASH.FC_CD,Functional Classification,CRASH.NHS_FLG,NHS,CRASH.HWY_NO,Highway Number,CRASH.RDWY_NO,Roadway Number,CRASH.HWY_COMPNT_CD,Highway Component,CRASH.MLGE_TYPE_CD,Mileage Type,CRASH.HWY_CMPNT_CD,Connection Number ,CRASH.SPECL_JRSDCT_ID,Special Jurisdiction,CRASH.ISECT_SEQ_NO,Intersection Sequence Number,FROM_ISECT_DSTNC_QTY,Distance From Nearest Intersection,CRASH.CMPSS_DIR_CD,Direction from Intersection,CRASH.MP_NO,Milepoint,CRASH.POST_SPEED_LMT_VAL,Posted Speed,CRASH.RD_CHAR_CD,Road Character,CRASH.OFF_RDWY_FLG,Off Roadway,CRASH.ISECT_TYP_CD,Intersection Type,CRASH.ISECT_REL_FLG,Intersection Related,CRASH.RNDBT_FLG,Roundabout,CRASH.DRVY_REL_FLG,Driveway Related,CRASH.LN_QTY,Number of Lanes,CRASH.TURNG_LEG_QTY,Number of Turning Legs,CRASH.MEDN_TYP_CD,Median Type,CRASH.CRASH_TYP_CD,Crash Type,CRASH.COLLIS_TYP_CD,Collision Type,CRASH.CRASH.SVRTY_CD,Crash Severity,CRASH.WEATHR_COND_CD,Weather Condition,CRASH.RD_SURF_COND_CD,Road Surface Condition,CRASH.LGT_COND_CD,Light Condition,CRASH.TRAF_CNTL_DEVICE_CD,Traffic Control Device,CRASH.TRAF_CNTL_DEVICE_CD,Traffic Control Device Functional,CRASH.INVSTG_AGY_CD,Investigating Agency,CRASH_CAUSE_EVNT.CRASH_EVNT_,Crash Level Events,CRASH_CAUSE_EVNT.CRASH_CAUSE_,Crash Level Cause,CRASH.SCHL_ZONE_IND,School Zone,CRASH.WRK_ZONE_IND,Work Zone,VHCL.VHCL_CODED_SEQ_NO,Vehicle Number,VHCL.VHCL_OWNSHP_CD,Vehicle Ownership,VHCL.VHCL_USE_CD,Special Use,VHCL.VHCL_TYP_CD,Vehicle Type,VHCL.EMRGCY_VHCL_USE_FLG,Emergency Use,VHCL.TRLR_QTY,Number of Trailers,VHCL.MVMNT_CD,Vehicle Movement,VHCL.CMPSS_DIR_FROM_CD,Direction of Travel From,VHCL.CMPSS_DIR_TO_CD,Direction of Travel To ,VHCL.ACTN_CD,Vehicle Level Action,VHCL_CAUSE_EVNT.VHCL_CAUSE_,Vehicle Level Cause,VHCL_CAUSE_EVNT.VHCL_EVNT_,Vehicle Level Event,VHCL.VHCL_SPEED_FLG,Vehicle Speed Flag - a yes/no field entered at the vehicle level. This field indicates that this vehicle was driven in excess of the posted speed.,VCHL.VHCL_HIT_RUN_FLG,Vehicle Hit and Run - Vehicle Level Hit and Run is a yes/no field that indicates whether the operator fled the scene of the crash in this vehicle.,PARTIC.VHCL_ID,Participant Level Vehicle Number,PARTIC.PARTIC_TYP_CD,Participant Type,PARTIC.PARTIC_HIT_RUN_FLG,Participant Level Hit and Run,PARTIC.PUB_EMPL_FLG,Public Employee,PARTIC.SEX_CD,Sex,PARTIC.AGE_VAL,Age,PARTIC.DRVR_LIC_STAT_CD,Driver License Status,PARTIC.DRVR_RES_STAT_CD,Residence of Driver,PARTIC.INJ_SVRTY_CD,Injury Severity,PARTIC.SFTY_EQUIP_USE_CD,Participant Safety Equipment Use,PARTIC.AIRBAG_DEPLOY_IND,Airbag Deployment,PARTIC.MVMNT_CD,Non-Motorist Movement,PARTIC.CMPSS_DIR_FROM_CD,Non-Motorist Direction of Travel From,PARTIC.CMPSS_DIR_TO_CD,Non-Motorist Direction of Travel To,PARTIC.NON_MOTRST_LOC_CD,Non-Motorist Location,PARTIC_ACTN_CD,Participant Level Action,PARTIC_ERR.CRASH_ERR_CD,Error,PARTIC_CAUSE_ERR_EVNT.PARTIC_CAUSE_,Participant Level Cause,PARTIC_CAUSE_ERR_EVNT.PARTIC_EVNT_,Participant Level Event,PARTIC.BAC_VAL,Blood Alcohol Content (BAC) Test Results,PARTIC.ALCHL_USE_RPT_IND,Alcohol Use Reported,PARTIC.DRUG_USE_RPT_IND,Drug Use Reported,PARTIC.MJ_USE_RPT_IND,Marijuana Use Reported,JRSDCT_GRP.JRSDCT_GRP_CD,Jurisdiction Group,CRASH.ALCHL_INVLV_FLG,Alcohol Involved Flag,CRASH.DRUG_INVLV_FLG,Drug Involved Flag,CRASH.MJ_INVLV_FLG,Marijuana Involved Flag,CRASH.CRASH_SPEED_INVLV_FLG,Speed Involved Flag,Hit and Run Flag,PARTIC.PARTIC_HIT_RUN_FLG,CRASH.POP_RNG_CD,Population Range,CRASH.RD_CNTRL_CD,Road Control,CRASH.RTE_TYP_CD,Route Type,CRASH.RTE_ID,Route Number,CRASH.REG_ID,ODOT Region,CRASH.DIST_ID,ODOT District,CRASH.UNLOCT_FLG,Unlocatable Crash Flag,CRASH.IMPCT_LCT_CD-INTR_CR_CT,Location of Impact:Intersectional Crashes,CRASH.IMPCT_LCT_CD-NONINTR_CR_CT_ST,Location of Impact:Non-Intersectional Crashes on City Streets,CRASH.IMPCT_LCT_CD-NONINTR_CR_CO_RO,Location of Impact:Non-Intersectional Crashes on County Roads,CRASH.IMPCT_LCT_CD-NONINTR_ST_HWY,Location of Impact:Non-Intersectional Crashes on State Highways
11,Crash Year,CRASH_YR_NO,,,,,11,November,10,10:00 a.m. to 10:59 a.m. ,11,Gilliam,10,Athena,22,Creswell UA,17,Urban Major Collector,,,010,Wallowa Lake,,,,,,,,,,,,,,,,,,,,,,,,,9,9-legged,,,,,,,,,,,,,J,From opposite direction - all others,-,Backing,,,,,,,,,10,School crossing sign or Special signal,,,,,11,Vehicle being pushed ,11,Mechanical defect - other than represented by codes 21,,,,,,,,,,,11,Motorhome ,,,,,,,,,,,14,Emergency vehicle legally parked in the roadway (Effective 2016),,,18,Vehicle struck train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Not at intersection - on sidewalk,30,Pursuing or attempting to stop a vehicle (Effective 2014),10,Improper signal or failure to signal,12,Other (Not improper driving),83,Vegetation obscured view,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,District 11,,,,,,,,,10,Lanes and Median Combo Sub-Division 10
12,Week Day Code,CRASH_WK_DAY_CD,,,,,12,December,11,11:00 a.m. to 11:59 a.m. ,12,Grant,11,Aumsville,23,Dallas UA,18,Urban Minor Collector,,,011,Enterprise-Lewiston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Motor vehicle on other roadway,&,Miscellaneous,,,,,,,,,11,"Police officer, flagman, school patrol",,,,,12,Vehicle towed or had been towing another vehicle ,12,* Other (Not improper driving),,,,,,,,,,,12,"Motorized street car or trolley, not using rails or wires ",,,,,,,,,,,15,Proceeded after stopping for a stop sign / flashing red,,,19,Vehicle struck railroad car on roadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Outside trafficway boundaries,34,Crossing at intersection - no traffic signal present,11,Backing improperly (Not parking),13,Improper change of traffic lanes,84,"View obscured by fence, sign, phone booth, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,District 12,,,,,,,,,11,Lanes and Median Combo Sub-Division 11
13,Crash Hour,CRASH_HR_NO,CRASH.CRASH_HR_NO,Crash Hour,,,,,12,12:00 p.m. (noon) to 12:59 p.m. ,13,Harney,12,Aurora,25,Eugene-Springfield UA,19,Urban Local,,,012,Baker-Copperfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Parked motor vehicle,,,,,,,,,,,12,Bridge gate - barrier,,,,,13,"Vehicle forced by impact into another vehicle, cyclist or pedestrian ",13,Improper change of traffic lanes,,,,,,,,,,,13,ATV ,,,,,,,,,,,16,Turned on red after stopping,,,20,Jackknife; trailer or towed vehicle struck towing vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,At Intersection - in bike lane (Effective 2016),35,Crossing at intersection - traffic signal present,12,Improperly parked,14,Disregarded other traffic control device,92,Other (phantom) non-contact vehicle (Per PAR or report),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,District 13,,,,,,,,,12,Lanes and Median Combo Sub-Division 12
14,County Code,CNTY_ID,CRASH.CRASH_CNTY_ID,County,,,,,13,1:00 p.m. to 1:59 p.m.,14,Hood River,13,Baker City,27,Florence UA,,,,,014,Crooked River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Pedestrian,,,,,,,,,,,13,Temporary barrier,,,,,14,Vehicle set in motion by non-driver (Child released brakes,14,Disregarded other traffic control device,,,,,,,,,,,14,Motorized scooter (Standing) ,,,,,,,,,,,18,Entering street or highway from alley or driveway,,,21,Trailer or towed vehicle overturned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,Not at intersection - in bike lane (Effective 2016),36,Crossing at intersection - diagonally,13,Improper start leaving parked position,15,Wrong way on one-way roadway (Also when roadway has a solid or earth median and vehicle is traveling on wrong side),93,Cell phone (Per PAR or report submitted by driver using phone),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,District 14,,,,,,,,,13,Lanes and Median Combo Sub-Division 13
15,City Section ID,CITY_SECT_ID,CRASH.CITY_SECT_ID,City,,,,,14,2:00 p.m. to 2:59 p.m.,15,Jackson,14,Bandon,31,Grants Pass UA,,,,,015,McKenzie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Railway train,,,,,,,,,,,14,No passing zone,,,,,15,At or on railroad right-of-way (Not light-rail) ,15,Wrong way on one-way roadway (Also when roadway has a solid or earth median and vehicle is traveling on wrong side),,,,,,,,,,,15,Snowmobile 99 Unknown vehicle type,,,,,,,,,,,19,Entering alley or driveway from street or highway,,,22,Trailer connection broke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Not at intersection - inside mid-block crosswalk,37,Crossing between intersections,14,Improper start from stopped position,17,Physical Illness (Effective 2014),94,Police report indicates teenage driver of this vehicle was in violation of graduated license program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,Lanes and Median Combo Sub-Division 14
16,Urban Area Code,URB_AREA_CD,CRASH.URB_AREA_CD,Urban Area,,,,,15,3:00 p.m. to 3:59 p.m.,16,Jefferson,15,Banks,32,Green UA (Terminated 2015),,,,,016,Santiam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Pedalcyclist,,,,,,,,,,,15,One way street,,,,,16,At or on light-rail right-of-way ,16,Driver drowsy / fatigued / sleepy,,,,,,,,,,,,,,,,,,,,,,,20,"Before entering roadway, struck pedestrian, etc. on sidewalk or shoulder",,,23,"Detached trailing object struck other vehicle, non-motorist, or object (Effective. 2004)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,Not at intersection - in parking lane (Effective 2016),38,Driverâ€™s attention distracted,15,Improper or no lights (Vehicle in traffic),16,Driver drowsy / fatigued / sleepy,99,Cell phone use witnessed by other participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Functional Class Code,FC_CD,CRASH.FC_CD,Functional Classification,,,,,16,4:00 p.m. to 4:59 p.m.,17,Josephine,16,Barlow,33,Hermiston UA,,,,,017,McKenzie-Bend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Animal,,,,,,,,,,,16,Channelization,,,,,17,Train struck vehicle ,17,Physical Illness (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,21,Car ran away - no driver,,,24,Vehicle door opened into adjacent lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,Other - not in roadway,43,Playing,16,Inattention,18,Non-Motorist illegally in roadway,102,Texting (Revised 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,NHS Flag,NHS_FLG,CRASH.NHS_FLG,NHS,,,,,17,5:00 p.m. to 5:59 p.m.,18,Klamath,17,Bay City,34,Hood River UA,,,,,018,Willamette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Fixed object,,,,,,,,,,,17,Median barrier,,,,,18,Vehicle struck train ,18,Non-Motorist illegally in roadway,,,,,,,,,,,,,,,,,,,,,,,22,"Struck, or was struck by, vehicle or pedestrian involved in prior collision before the crash stabilized",,,25,Wheel came off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,Unknown location,44,Pushing or working on vehicle,17,Driving unsafe vehicle (No other error apparent),19,Not visible: dark / non-reflective clothing,103,Work Zone Worker (Applies to this Participant and at Crash level) (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Highway Number,HWY_NO,CRASH.HWY_NO,Highway Number,,,,,18,6:00 p.m. to 6:59 p.m.,19,Lake,18,Beaverton,35,Klamath Falls UA,,,,,019,Fremont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Other object,,,,,,,,,,,18,Pilot car,,,,,19,Vehicle struck railroad car on roadway ,19,Not visible: dark / non-reflective clothing,,,,,,,,,,,,,,,,,,,,,,,23,* Vehicle stalled or disabled,,,26,Hood flew up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,"Working (In or off roadway, not on a vehicle)",18,Entering/exiting parked position with insufficient clearance; other improper parking maneuver,26,* Phantom / Non-contact vehicle,104,Passenger riding on vehicle exterior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Highway Suffix,HWY_SFX_NO,,,,,,,19,7:00 p.m. to 7:59 p.m.,20,Lane,19,Bend,36,Junction City UA,,,,,020,Klamath Falls-Lakeview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&,Overturned,,,,,,,,,,,19,Special pedestrian signal,,,,,20,Jackknife: trailer or towed vehicle struck towing vehicle ,20,Vehicle improperly parked,,,,,,,,,,,,,,,,,,,,,,,29,"* Vehicle crossed, plunged over, or through median barrier",,,28,"Lost load, load moved or shifted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,"Non-Motorist walking, running, riding, etc., with traffic (Effective 2014)",19,Disregarded other driver's signal,27,Inattention,105,Passenger riding on pedalcycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Roadway Number,RDWY_NO,CRASH.RDWY_NO,Roadway Number,,,,,20,8:00 p.m. to 8:59 p.m.,21,Lincoln,20,Boardman,37,La Grande UA,,,,,021,Green Springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Other non-collision,,,,,,,,,,,20,Crossbuck,,,,,21,Trailer or towed vehicle overturned ,21,Defective steering mechanism,,,,,,,,,,,,,,,,,,,,,,,31,Passing situation,,,29,Tire failure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,"Non-Motorist walking, running, riding, etc., facing traffic (Effective 2014)",20,Disregarded traffic signal,28,Non-Motorist Inattention (Effective 2014),106,Pedestrian in non-motorized wheelchair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Highway Component,HWY_COMPNT_CD,CRASH.HWY_COMPNT_CD,Highway Component,,,,,21,9:00 p.m. to 9:59 p.m.,22,Linn,21,Bonanza,38,La Pine UA (Terminated 2015),,,,,022,Crater Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,Through green arrow or signal,,,,,22,Trailer connection broke ,22,Inadequate or no brakes,,,,,,,,,,,,,,,,,,,,,,,32,Vehicle parked beyond curb or shoulder,,,30,"Pet: cat, dog and similar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Standing or lying down,21,Disregarded stop sign or flashing red,29,Failed to avoid vehicle ahead (Effective 2014),107,Pedestrian in motorized wheelchair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Mileage Type,MLGE_TYP_CD,CRASH.MLGE_TYPE_CD,Mileage Type,,,,,22,10:00 p.m. to 10:59 p.m.,23,Malheur,22,Brookings,39,Lebanon UA,,,,,023,Dairy-Bonanza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,"Left turn green arrow, lane markings or signal",,,,,23,"Detached trailing object struck other vehicle, non-motorist, or object ",24,Vehicle lost load or load shifted,,,,,,,,,,,,,,,,,,,,,,,33,* Vehicle crossed earth or grass median,,,31,"Stock: cow, calf, bull, steer, sheep, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,Merging (Effective 2014),22,"Disregarded warning sign, flares or flashing amber",30,Driving in excess of posted speed,108,Law Enforcement / Police Officer (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Connection Number,RD_CON_NO,CRASH.HWY_CMPNT_CD,Connection Number ,,,,,23,11:00 p.m. to 11:59 p.m.,24,Marion,23,Brownsville,41,Lincoln City UA,,,,,025,Redwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,"Right turn green arrow, lane markings or signal",,,,,24,Vehicle door opened into adjacent traffic lane ,25,Tire failure,,,,,,,,,,,,,,,,,,,,,,,51,Entering / starting in traffic lane from off-road,,,32,"Horse, mule, or donkey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,Blinded by water spray (Effective 2014),23,Disregarded police officer or flagman,31,"Speed Racing (Per PAR, or self-reported)",109,"'Sub-Bike' (Pedal-cyclist injured subsequent to collision, etc.) (Effective 2014)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Linear Reference System (LRS),LRS_VAL,,,,,,,24,DO NOT USE,25,Morrow,24,Burns,42,Madras UA,,,,,026,Mt. Hood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,Wigwag or flashing lights without drop arm gate,,,,,25,Wheel came off ,26,Phantom / non-contact vehicle,,,,,,,,,,,,,,,,,,,,,,,52,Merging (Effective 2014),,,33,Horse and rider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,Other action,24,Disregarded siren or warning of emergency vehicle,32,"Careless Driving (Per PAR, or self-reported)",110,Non-motorist struck vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Latitude Degrees,LAT_DEG_NO,,,,,,,99,Unknown Time,26,Multnomah,25,Butte Falls,43,McMinnville UA,,,,,027,Alsea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,Crossbuck and advance warning,,,,,26,Hood flew up ,27,Inattention,,,,,,,,,,,,,,,,,,,,,,,88,Other action,,,34,"Wild animal, game (Includes birds; not deer or elk)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,"Disregarded Rail Road signal, Rail Road sign, or Rail Road flagman",33,"Reckless Driving (Per PAR, or self-reported)",115,Distracted by navigation system or GPS device (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Latitude Minutes,LAT_MINUTE_NO,,,,,,,,,27,Polk,26,Canby,44,Medford UA,,,,,028,Pendleton-John Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,Flashing lights with drop-arm gates,,,,,28,"Lost load, load moved or shifted ",28,Non-Motorist Inattention (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,35,"Deer or elk, wapiti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,Failed to avoid stopped or parked vehicle ahead other than school bus,34,"Aggressive Driving (Per PAR, or self-reported)",116,Distracted by other electronic device (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Latitude Seconds,LAT_SEC_NO,,,,,,,,,28,Sherman,27,Cannon Beach,45,Milton-Freewater UA,,,,,029,Tualatin Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,Supplemental overhead signal (RR crossing only),,,,,29,Tire failure ,29,Failed to avoid vehicle ahead (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,36,Animal-drawn vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,Did not have right-of-way over pedal-cyclist,40,View obscured (Effective 2014),123,Loose object in vehicle struck occupant (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Longitude Degrees,LONGTD_DEG_NO,,,,,,,,,29,Tillamook,28,Canyon City,46,Molalla UA,,,,,030,Willamina-Salem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,Special rail road stop sign,,,,,30,"Pet: cat, dog and similar ",30,Driving in excess of posted speed,,,,,,,,,,,,,,,,,,,,,,,,,,,37,"Culvert, open low or high manhole",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,Did not have right-of-way,50,Improper use of median or shoulder (Effective 2014),130,View obscured by curve (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Longitude Minutes,LONGTD_MINUTE_NO,,,,,,,,,30,Umatilla,29,Canyonville,47,Monmouth-Independence UA,,,,,031,Albany-Corvallis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,Illuminated grade crossing,,,,,31,"Stock: cow, calf, bull, steer, sheep, etc. ",31,Speed Racing (Per PAR or self-reported),,,,,,,,,,,,,,,,,,,,,,,,,,,38,Impact attenuator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,Failed to yield right-of-way to pedestrian,,,131,"View obscured by vertical grade, hill (Effective 2014)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Longitude Seconds,LONGTD_SEC_NO,,,,,,,,,31,Union,30,Carlton,48,Myrtle Creek UA,,,,,032,Three Rivers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,Metered ramps,,,,,32,"Horse, mule, or donkey ",32,Careless Driving (Per PAR or self-reported),,,,,,,,,,,,,,,,,,,,,,,,,,,39,Parking meter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,Passing on a curve,,,132,View obscured by vehicle window conditions (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Special Jurisdiction,SPECL_JRSDCT_ID,CRASH.SPECL_JRSDCT_ID,Special Jurisdiction,,,,,,,32,Wallowa,31,Cascade Locks,49,Newberg UA,,,,,033,Corvallis-Newport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,Rumble strip (Effective 2006),,,,,33,Horse and rider ,33,Reckless Driving (Per PAR or self-reported),,,,,,,,,,,,,,,,,,,,,,,,,,,40,Curb (Also narrow sidewalks or bridges),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,Passing on the wrong side,,,134,Torrential rain (Exceptionally heavy rain) (Effective 2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Jurisdiction Group,JRSDCT_GRP_CD,,,,,,,,,33,Wasco,32,Cave Junction,51,Newport UA,,,,,035,Coos Bay-Roseburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,Left turn refuge (when refuge is involved),,,,,34,"Wild animal, game (Includes birds; not deer or elk) ",34,Aggressive Driving (Per PAR),,,,,,,,,,,,,,,,,,,,,,,,,,,42,Leading edge of guardrail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,Passing on straight road under unsafe conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Street Number,AGY_ST_NO,,,,,,,,,34,Washington,33,Central Point,53,Ontario UA,,,,,036,Pendleton-Cold Springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,"Right turn at all times sign, lane markings, or signal",,,,,35,"Deer or elk, wapiti ",35,Road Rage (Per PAR),,,,,,,,,,,,,,,,,,,,,,,,,,,43,Guard rail (Not metal median barrier),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,Passed vehicle stopped at crosswalk for pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Nearest Intersecting Street Number,ISECT_AGY_ST_NO,,,,,,,,,35,Wheeler,34,Chiloquin,55,Pendleton UA,,,,,037,Wilson River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,Emergency signs or flares,,,,,36,Animal-drawn vehicle ,40,View Obscured (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,44,Median barrier (Raised or metal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,Passing at intersection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Intersection Sequence Number,ISECT_SEQ_NO,CRASH.ISECT_SEQ_NO,Intersection Sequence Number,,,,,,,36,Yamhill,35,Clatskanie,57,Portland UA,,,,,038,Oregon Caves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,Acceleration or deceleration lanes,,,,,37,"Culvert, open low or high manhole ",50,Improper use of median or shoulder (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,45,Retaining wall or tunnel wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,Passing on crest of hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Distance from Intersection,FROM_ISECT_DSTNC_QTY,FROM_ISECT_DSTNC_QTY,Distance From Nearest Intersection,,,,,,,,,36,Coburg,59,Prineville UA,,,,,039,Salmon River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,Right turn prohibited on red after stopping,,,,,38,Impact attenuator ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,Bridge railing (on bridge and approach),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,"Passing in ""No Passing"" zone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Direction From Intersection,CMPSS_DIR_CD,CRASH.CMPSS_DIR_CD,Direction from Intersection,,,,,,,,,37,Columbia City,61,Rainier UA,,,,,040,Beaverton-Hillsdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,Bus stop sign and red lights,,,,,39,Parking meter ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,Bridge abutment (Approach ends) (Revised 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,Passing in front of oncoming traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
